13# Special techniques for use when population parameters and population distributions are unknown#13.9.2#Friedman test Page 715#Ex13_9_2.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH13/EX13.9.2/Ex13_9_2.R#S##6653
4# Probabilistic features of certain data distributions#4.3.1#Binomial distribution Page 99#Ex4_3_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH4/EX4.3.1/Ex4_3_1.R#S##6572
4# Probabilistic features of certain data distributions#4.2.8#mean and variance of prob distribution Page 98#Ex4_2_8.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH4/EX4.2.8/Ex4_2_8.R#S##6573
4# Probabilistic features of certain data distributions#4.2.7#Cumulative probability distribution Page 97#Ex4_2_7.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH4/EX4.2.7/Ex4_2_7.R#S##6574
4# Probabilistic features of certain data distributions#4.2.6#Cumulative probability distribution Page 97#Ex4_2_6.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH4/EX4.2.6/Ex4_2_6.R#S##6575
4# Probabilistic features of certain data distributions#4.2.5#Cumulative probability distribution Page 97#Ex4_2_5.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH4/EX4.2.5/Ex4_2_5.R#S##6576
4# Probabilistic features of certain data distributions#4.2.4#Cumulative probability distribution Page 97#Ex4_2_4.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH4/EX4.2.4/Ex4_2_4.R#S##6577
4# Probabilistic features of certain data distributions#4.2.3#Prob that family used either one or two programs Page 95#Ex4_2_3.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH4/EX4.2.3/Ex4_2_3.R#S##6578
4# Probabilistic features of certain data distributions#4.2.2#Probability distribution from frequency table Page 95#Ex4_2_2.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH4/EX4.2.2/Ex4_2_2.R#S##6579
4# Probabilistic features of certain data distributions#4.2.1#Probability distribution from frequency table Page 93#Ex4_2_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH4/EX4.2.1/Ex4_2_1.R#S##6580
3# Probability The basis of statistical inference#3.5.1#Bayes theorem Refer Table for data Page 81#Ex3_5_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH3/EX3.5.1/Ex3_5_1.R#S##6555
3# Probability The basis of statistical inference#3.4.9#Marginal Probability of Early age Page 75#Ex3_4_9.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH3/EX3.4.9/Ex3_4_9.R#S##6554
3# Probability The basis of statistical inference#3.4.8#Find probability of admissions that are NOT private Page 75#Ex3_4_8.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH3/EX3.4.8/Ex3_4_8.R#S##6553
3# Probability The basis of statistical inference#3.4.7#Conditional Probability of student wears eye glasses given he is a boy Page 74#Ex3_4_7.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH3/EX3.4.7/Ex3_4_7.R#S##6552
3# Probability The basis of statistical inference#3.4.6#Probability of early subjects OR no history of mood disorders Page 73#Ex3_4_6.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH3/EX3.4.6/Ex3_4_6.R#S##6551
3# Probability The basis of statistical inference#3.4.5#Conditional Probability of early subjects and no history of mood disorders Page 72#Ex3_4_5.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH3/EX3.4.5/Ex3_4_5.R#S##6550
3# Probability The basis of statistical inference#3.4.4#Multiplication rule of early subjects and no history of mood disorders Page 71#Ex3_4_4.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH3/EX3.4.4/Ex3_4_4.R#S##6549
3# Probability The basis of statistical inference#3.4.3#Joint Probability of early subjects and no history of mood disorders Page 71#Ex3_4_3.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH3/EX3.4.3/Ex3_4_3.R#S##6548
3# Probability The basis of statistical inference#3.4.2#Conditional Probability Page 70#Ex3_4_2.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH3/EX3.4.2/Ex3_4_2.R#S##6547
3# Probability The basis of statistical inference#3.4.1#Probability of member being less than 18 years of age Page 69#Ex3_4_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH3/EX3.4.1/Ex3_4_1.R#S##6546
2# Strategies for understanding the meanings of data#2.5.5#Box and whisker plot Page 50#Ex2_5_5.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH2/EX2.5.5/Ex2_5_5.R#S##6545
2# Strategies for understanding the meanings of data#2.5.4#Kurtosis Page 49#Ex2_5_4.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH2/EX2.5.4/Ex2_5_4.R#S##6544
2# Strategies for understanding the meanings of data#2.5.3#Coefficient of correlation Page 46#Ex2_5_3.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH2/EX2.5.3/Ex2_5_3.R#S##6543
2# Strategies for understanding the meanings of data#2.5.2#Variance of ages Page 44#Ex2_5_2.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH2/EX2.5.2/Ex2_5_2.R#S##6542
2# Strategies for understanding the meanings of data#2.5.1#Range of ages Page 44#Ex2_5_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH2/EX2.5.1/Ex2_5_1.R#S##6541
2# Strategies for understanding the meanings of data#2.4.6#Skewness Page 42#Ex2_4_6.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH2/EX2.4.6/Ex2_4_6.R#S##6540
2# Strategies for understanding the meanings of data#2.4.5#Modal age Page 41#Ex2_4_5.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH2/EX2.4.5/Ex2_4_5.R#S##6539
2# Strategies for understanding the meanings of data#2.4.4#Median age of sample of size 10 Page 40#Ex2_4_4.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH2/EX2.4.4/Ex2_4_4.R#S##6538
2# Strategies for understanding the meanings of data#2.4.3#Median age Page 40#Ex2_4_3.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH2/EX2.4.3/Ex2_4_3.R#S##6537
2# Strategies for understanding the meanings of data#2.4.2#Mean age of 10 subjects Page 39#Ex2_4_2.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH2/EX2.4.2/Ex2_4_2.R#S##6536
2# Strategies for understanding the meanings of data#2.4.1#Obtain the mean age page 38#Ex2_4_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH2/EX2.4.1/Ex2_4_1.R#S##6535
2# Strategies for understanding the meanings of data#2.3.2#Stem and leaf plot for ages of 189 subjects Page 29#Ex2_3_2.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH2/EX2.3.2/Ex2_3_2.R#S##6534
2# Strategies for understanding the meanings of data#2.3.1#Form Class Intervals for the ages data Page 23#Ex2_3_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH2/EX2.3.1/Ex2_3_1.R#S##6533
2# Strategies for understanding the meanings of data#2.2.1#Arrange ages from smallest to largest Page 20#Ex2_2_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH2/EX2.2.1/Ex2_2_1.R#S##6532
1# Getting acquainted with biostatistics#1.4.2#Systematic sample of size 10 Page 11#Ex1_4_2.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH1/EX1.4.2/Ex1_4_2.R#S##6531
1# Getting acquainted with biostatistics#1.4.1#Simple random sampling of size 10 Page 8#Ex1_4_1.R#Biostatistics:_Basic_Concepts_And_Methodology_For_The_Health_Sciences_by_Daniel_W._Wayne,_Chad_L._Cross/CH1/EX1.4.1/Ex1_4_1.R#S##6530
